char,readings
一,いち;ひと;かず;いつ
二,に;ふた
九,く;きゅう;ここの
七,しち;なな;なの
人,にん;じん;ひと;と
入,にゅう;はい;い
八,はち;や;よう
力,りょく;りき;ちから
十,じゅう;とお
三,さん;み
上,じょう;うえ;あ;のぼ;うわ;かみ
下,か;げ;した;さ;くだ;お
口,こう;く;くち
大,たい;だい;おお;ひろ
女,じょ;おんな;め
山,さん;やま
川,せん;かわ
工,こう;く
刀,とう;かたな
土,ど;と;つち
千,せん;ち
夕,せき;ゆう
子,し;す;こ
小,しょう;ちい;こ;お
丁,ちょう;てい
了,りょう
又,また
丸,がん;まる
才,さい
中,ちゅう;なか
五,ご;いつ
六,ろく;む
円,えん;まる
天,てん;あま
手,しゅ;て;ず
文,ぶん;もん
日,にち;じつ;ひ;か;び
月,げつ;がつ;つき
木,もく;き;こ;ぼく
水,すい;みず
火,か;ひ;ほ
犬,けん;いぬ
王,おう
出,しゅつ;で;だ
右,ゆう;う;みぎ
四,し;よん;よ
左,さ;ひだり
本,ほん;もと
正,せい;しょう;ただ;まさ
玉,ぎょく;たま
田,でん;た
白,はく;しろ;しら
目,もく;め
石,せき;いし
立,りつ;りゅう;た
万,まん;ばん
今,こん;いま
元,げん;がん;もと
公,こう
内,ない;うち
分,ぶん;ふん;ぶ;わ
切,せつ;き
午,ご
友,ゆう;とも
太,たい;た;ふと;おお
少,しょう;すこ;すく
引,いん;ひ
心,しん;こころ
戸,こ;と
方,ほう;かた
牛,ぎゅう;うし
父,ふ;ちち;とう
毛,もう;け
止,し;と;や
兄,きょう;あに;にい
冬,とう;ふゆ
北,ほく;きた
半,はん;なか
古,こ;ふる
台,だい;たい
外,がい;そと;はず
市,し;いち
広,こう;ひろ
母,ぼ;はは;かあ
用,よう;もち
矢,し;や
世,せ;せい;よ
主,しゅ;おも;ぬし
他,た;ほか
代,だい;か;かわ;しろ
写,しゃ;うつ
去,きょ;こ;さ
号,ごう
央,おう
平,へい;ひょう;びょう;たい;ひら
打,だ;う;ぶ
氷,ひょう;こおり
申,しん;もう
皮,ひ;かわ
皿,さら
礼,れい
休,きゅう;やす
先,せん;さき;まず
名,めい;みょう;な
字,じ
年,ねん;とし
早,そう;はや;さ
気,き;け;いき
百,ひゃく;もも
竹,たけ
糸,し;いと
耳,じ;みみ
虫,ちゅう;き;むし
村,そん;むら
男,だん;おとこ;なん
町,ちょう;まち
花,か;け;はな
見,けん;み
貝,かい
赤,せき;あか
足,そく;あし;た
車,しゃ;くるま
不,ふ;ぶ
仕,し;つか
交,こう;まじ;ま;か
会,かい;あ
光,こう;ひかり;ひか
同,どう;おな
回,かい;まわ
多,た;おお
当,とう;あ
毎,まい;ごと
池,ち;いけ
米,べい;まい;こめ
羽,う;はね;は;わ
考,こう;かんが
肉,にく
自,じ;し
色,しき;しょく;いろ
行,こう;ぎょう;い;おこな;ゆ
西,せい;さい;にし
何,か;なに;なん
体,たい;からだ
作,さく;さ;つく
図,ず;と;え;はか
声,せい;こえ
売,ばい;う
弟,だい;で;てい;おとうと
形,けい;ぎょう;かた;かたち
来,らい;く
社,しゃ;やしろ
角,かく;かど;つの
言,げん;ごん;い;こと
谷,こく;たに;せ
走,そう;はし
近,きん;こん;ちか
里,り;さと
麦,ばく;むぎ
学,がく;まな
林,りん;はやし
空,くう;そら;あ;から;す
金,きん;かね
雨,う;あめ;あま
青,せい;しょう;あお
草,そう;くさ
音,おん;おと;ね
化,か;ば
地,ち;じ
両,りょう
全,ぜん;すべ;まった
向,こう;む;なた
安,あん;やす
州,しゅう
曲,きょく;ま
有,ゆう;う;あ
次,じ;つぎ
死,し;し
羊,よう;ひつじ
血,けつ;ち
京,きょう;みやこ
国,こく;くに
夜,や;よ;よる
妹,まい;いもうと
姉,し;お;あね;ねえ
店,てん;みせ
明,めい;あ;あか;あき
東,とう;ひがし
歩,ほ;ある;あゆ
画,が;かく
直,ちょく;じき;なお
知,ち;し
長,ちょう;なが;は
前,ぜん;まえ
南,なん;みなみ
室,しつ
後,ご;こう;うし;あと;のち
思,し;おも
星,せい;ほし
活,かつ;い
海,かい;うみ
点,てん;つ
科,か
茶,ちゃ;さ
食,しょく;た;く
首,しゅ;くび
欠,けつ;か
氏,し;うじ
由,ゆう;よし;よ;ゆ;ゆい
札,さつ;ふだ
民,みん;たみ
辺,へん;あた;べ
付,ふ;つ
以,い
失,しつ;うしな
必,ひつ;かなら
未,み;ま;いま;ひつじ
末,まつ;すえ
校,こう
夏,げ;か;が;なつ
家,か;け;いえ;や;うち
弱,じゃく;よわ
時,じ;とき
紙,し;かみ
記,き;しる
通,つう;とお;かよ
高,こう;たか
強,きょう;つよ
教,きょう;おし;おそ
理,り;ことわり
組,そ;くみ
船,せん;ふね
週,しゅう
雪,せつ;ゆき
魚,ぎょ;さかな
鳥,ちょう;とり
黄,おう;き
黒,こく;くろ
支,し;ささ
住,じゅう;す
助,じょ;たす;すけ
医,い
君,くん;きみ
対,たい
局,きょく
役,やく
投,とう;な
決,けつ;き
究,きゅう;きわ
身,しん;み
者,しゃ;もの
研,けん;と
馬,ば;うま
森,しん;もり
場,じょう;ば
朝,ちょう;あさ
番,ばん
答,とう;こた
絵,え
買,ばい;か
道,どう;みち
間,かん;けん;あいだ;ま
雲,うん;くも
数,すう;かぞ;かず
楽,らく;がく;たの
話,わ;はな;はなし
電,でん
所,しょ;ところ
事,じ;こと;つか
使,し;つか
具,ぐ
受,じゅ;う
和,わ;お;なご;やわ;かず;より
始,し;はじ
定,てい;じょう;さだ
実,じつ;み
服,ふく
泳,えい;およ
物,ぶつ;もつ;もの
苦,く;くる;にが
表,ひょう;あらわ;おもて
部,ぶ;へ
乗,じょう;の
客,きゃく
屋,おく;や
度,ど;たく;たび
待,たい;ま
持,じ;も
界,かい
発,はつ
相,そう;しょう;あい
県,けん
美,び;み;うつく
負,ふ;ま;お
送,そう;おく
重,じゅう;ちょう;おも;かさ;え
談,だん
要,よう;い;かなめ
勝,しょう;か
仮,か;かり
起,き;お
速,そく;はや
配,はい;くば
酒,しゅ;さけ;さか
院,いん
終,しゅう;おわ;お
習,しゅう;なら
転,てん;ころ
進,しん;すす
落,らく;お
葉,よう;は;ば
軽,けい;かる;かろ
運,うん;はこ
開,かい;あ;ひら
集,しゅう;あつ
飲,いん;の
業,ぎょう
漢,かん
路,ろ;じ;みち
農,のう
鉄,てつ
歌,か;うた
算,さん;そろ
聞,ぶん;もん;き
語,ご;かた
読,とう;どく;よ
鳴,めい;な
線,せん
横,おう;よこ
調,ちょう;しら
親,しん;おや;した
頭,ず;とう;あたま
顔,がん;かお
病,びょう;や;やまい
最,さい;もっと
争,そう;あらそ
仲,ちゅう;なか
伝,でん;つた;つて
共,きょう;とも
好,こう;す;この
成,せい;な
老,ろう
位,い;くらい
低,てい;ひく
初,しょ;はじ;はつ;そ;ぞ
別,べつ;わか
利,り;き
努,ど;つと
労,ろう;いたわ
命,めい;みょう;いのち
岸,がん;きし
放,ほう;はな;ほう
昔,むかし
波,は;なみ
注,ちゅう;そそ;さ;つ
育,いく;そだ;はぐく
拾,ひろ;しゅう
指,し;ゆび;さ
洋,よう
神,しん;かみ;じん
秒,びょう
級,きゅう
追,つい;お
戦,せん;たたか
競,きょう;きそ;けい
良,りょう;よ;い
功,こう
特,とく
便,べん;びん;たよ
働,どう;はたら
令,れい
意,い
味,み;あじ
勉,べん
庭,てい;にわ
息,そく;いき
旅,りょ;たび
根,こん;ね
流,りゅう;る;なが
消,しょう;き;け
倍,ばい
員,いん
島,とう;しま
祭,さい;まつり;まつ
章,しょう
第,だい
都,と;つ;みやこ
動,どう;うご
商,しょう;あきな
悪,あく;お;わる
族,ぞく
深,しん;ふか
球,きゅう;たま
童,どう
陽,よう;ひ;はる
階,かい
寒,かん;さむ
暑,しょ;あつ
期,き
植,しょく;う
歯,し;は
温,おん;あたた
港,こう;みなと
湯,とう;ゆ
登,とう;と;のぼ
着,ちゃく;き;つ
短,たん;みじか
野,や;の
泉,せん;いずみ
生,せい;しょう;い;なま;う;は;き
亡,ぼう;な
合,ごう;がっ;あ;あい
風,ふう;ふ;かぜ
予,よ;あらかじ
反,はん
々,のま
新,しん;あたら;あら;にい
返,へん;かえ
問,もん;と;とん
宿,しゅく;やど
想,そう
感,かん
整,せい;ととの
暗,あん;くら;くれ
様,よう;さま
橋,きょう;はし
福,ふく
緑,りょく;みどり
練,れん;ね
詩,し;うた
銀,ぎん
題,だい
館,かん
駅,えき
億,おく
器,き;うつわ
士,し;さむらい
料,りょう
標,ひょう;しるし
殺,さつ;ころ
然,ぜん;ねん;しか;さ
熱,ねつ;あつ
課,か
賞,しょう
輪,りん;わ
選,せん;えら
鏡,きょう;かがみ
願,がん;ねが;ねがい
養,よう;やしな
像,ぞう
情,じょう;なさけ
謝,しゃ;あやま
映,えい;うつ;は
疑,ぎ;うたが
皆,かい;みな;みんな
求,きゅう;もと
私,し;わたし
保,ほ;たも
試,し;こころ;ため
験,けん;ため;ためし
宝,ほう;たから
僕,ぼく
一,いち
一つ,ひとつ
七,なな;しち
七つ,ななつ
九,きゅう;く
九つ,ここのつ
二,に
二つ,ふたつ
人,ひと
二人,ふたり
一人,ひとり
アメリカ人,あめりかじん;アメリカじん
フランス人,ふらんすじん;フランスじん
入る,はいる
入れる,いれる
八,はち
八つ,やっつ
力,ちから
十,じゅう
三,さん
三つ,みっつ
三人,さんにん
上,うえ
上げる,あげる
上がる,あがる
上る,のぼる
下,した
下がる,さがる
下げる,さげる
下さい,ください
口,くち
入り口,いりぐち
大きい,おおきい
大きさ,おおきさ
大した,たいした
大人,おとな
女,おんな
山,やま
ふじ山,ふじさん
川,かわ
刀,かたな
土,つち
千,せん
一千,いっせん
夕べ,ゆうべ
女の子,おんなのこ
子,こ
女子,じょし
小さい,ちいさい
又,また
丸,まる
丸い,まるい
才,さい
中,なか
中々,なかなか
五月,ごがつ
五日,いつか
五十,ごじゅう
五つ,いつつ
五,ご
六つ,むっつ
六月,ろくがつ
六日,むいか
十六,じゅうろく
六,ろく
円,えん
千円,せんえん
円い,まるい
天,てん
天才,てんさい
手,て
下手,へた
上手,じょうず
文,ぶん
日,ひ
月,つき
十月,じゅうがつ
一月,いちがつ
二月,にがつ
木,き
水,みず
火,ひ
火山,かざん
犬,いぬ
子犬,こいぬ
王,おう
王子,おうじ
女王,じょおう
王女,おうじょ
出す,だす
出る,でる
出口,でぐち
右,みぎ
右手,みぎて
四,よん;し
四月,しがつ
四日,よっか
四つ,よっつ
四千,よんせん
四十,よんじゅう
左,ひだり
左手,ひだりて
本,ほん
日本,にほん;にっぽん
正しい,ただしい
正す,ただす
玉,たま
ビー玉,びーだま;ビーだま
玉ねぎ,たまねぎ
生まれる,うまれる
生む,うむ
生きる,いきる
生,なま
田,た
白,しろ
白人,はくじん
目,め
目玉,めだま
石,いし
立つ,たつ
立てる,たてる
一万,いちまん
二万,にまん
十万,じゅうまん
今,いま
今日,きょう
今月,こんげつ
元,もと
半分,はんぶん
分かる,わかる
分ける,わける
分,ふん;ぶん
切れる,きれる
大切,たいせつ
切る,きる
友人,ゆうじん
太い,ふとい
太る,ふとる
少し,すこし
少ない,すくない
引く,ひく
心,こころ
戸口,とぐち
方,かた;ほう
止まる,とまる
止める,とめる
中止,ちゅうし
毛,け
父,ちち
お父さん,おとうさん
牛,うし
兄,あに
お兄さん,おにいさん
冬,ふゆ
北,きた
半,はん
古い,ふるい
中古,ちゅうこ
一台,いちだい
二台,にだい
五台,ごだい
十台,じゅうだい
外,そと
外人,がいじん
外れ,はずれ
外れる,はずれる
市,し
市立,しりつ
シアトル市,しあとるし;シアトルし
広い,ひろい
母,はは
お母さん,おかあさん
用いる,もちいる
公用,こうよう
矢,や
休み,やすみ
休む,やすむ
休止,きゅうし
休日,きゅうじつ
先ず,まず
先,さき
先々月,せんせんげつ
先月,せんげつ
先日,せんじつ
先生,せんせい
名人,めいじん
名字,みょうじ
字,じ
太字,ふとじ
文字,もじ
一文字,いちもんじ
大文字,おおもじ
２０１１年,にせんじゅういちねん
年内,ねんない
年中,ねんじゅう
一年生,いちねんせい
少年,しょうねん
去年,きょねん
早い,はやい
早々,そうそう;はやばや
気,き
気に入る,きにいる
一気,いっき
気分,きぶん
人気,にんき
元気,げんき
天気,てんき
本気,ほんき
平気,へいき
一本気,いっぽんぎ
百万,ひゃくまん
四百,よんひゃく
五百,ごひゃく
二百,にひゃく
竹の子,たけのこ
竹,たけ
糸,いと
耳,みみ
耳打ち,みみうち
虫,むし
村,むら
村人,むらびと
男,おとこ
町,まち
花,はな
花火,はなび
花見,はなみ
見る,みる
見える,みえる
見せる,みせる
見分ける,みわける
見方,みかた
月見,つきみ
貝,かい
赤,あか
赤ちゃん,あかちゃん
足りる,たりる
足,あし
不足,ふそく
車,くるま
車内,しゃない
世,よ
二世,にせい
三世,さんせい
主に,おもに
主人,しゅじん
仕方,しかた
仕方がない,しかたがない
他,ほか
他人,たにん
代わる,かわる
一代,いちだい
代用,だいよう
写す,うつす
写る,うつる
号,ごう
中央,ちゅうおう
平ら,たいら
平日,へいじつ
打つ,うつ
一打,いちだ
氷,こおり
かき氷,かきごおり
申す,もうす
申し申し,もうしもうし;もしもし
皮,かわ
皿,さら
小皿,こざら
お礼,おれい
不正,ふせい
交ぜる,まぜる
大会,たいかい
会う,あう
光,ひかり
光年,こうねん
月光,げっこう
日光,にっこう
同じ,おなじ
同日,どうじつ
回,かい
回る,まわる
一回,いっかい
今回,こんかい
毎回,まいかい
多い,おおい
多分,たぶん
当たる,あたる
当たり,あたり
毎月,まいつき;まいげつ
毎日,まいにち
毎年,まいとし;まいねん
池,いけ
米,こめ
羽,はね
考え,かんがえ
考える,かんがえる
考え方,かんがえかた
肉,にく
牛肉,ぎゅうにく
皮肉,ひにく
自分,じぶん
自立,じりつ
色,いろ
色々,いろいろ
水色,みずいろ
行く,いく
行う,おこなう
行き,ゆき;いき
西,にし
北西,ほくせい
何千,なんぜん
何,なに;なん
何人,なんにん
何月,なんがつ
何日,なんにち
何年,なんねん
何回,なんかい
学ぶ,まなぶ
学生,がくせい
学年,がくねん
入学,にゅうがく
工学,こうがく
大学,だいがく
休学,きゅうがく
林,はやし
空気,くうき
空,そら
金,きん
金玉,きんたま
お金,おかね
雨,あめ
青い,あおい
青年,せいねん
草,くさ
音,おと
作る,つくる
体,からだ
体力,たいりょく
体内,たいない
作文,さくぶん
作用,さよう
工作,こうさく
大作,たいさく
図,ず
声,こえ
大声,おおごえ
売る,うる
売り上げ,うりあげ
売り切れ,うりきれ
売り手,うりて
弟,おとうと
兄弟,きょうだい
形,かたち
ハート形,はーとがた;ハートがた
来る,くる
来月,らいげつ
来年,らいねん
古来,こらい
外来,がいらい
年来,ねんらい
社内,しゃない
入社,にゅうしゃ
公社,こうしゃ
本社,ほんしゃ
会社,かいしゃ
角,かく;かど
三角,さんかく
四角,しかく
言う,いう
谷,たに
走る,はしる
走行,そうこう
近い,ちかい
近日,きんじつ
近年,きんねん
麦,むぎ
文化,ぶんか
地,ち
地下,ちか
土地,とち
地図,ちず
両手,りょうて
両日,りょうじつ
両方,りょうほう
全て,すべて
全力,ぜんりょく
全日本,ぜんにほん;ぜんにっぽん
安全,あんぜん
方向,ほうこう
安い,やすい
安心,あんしん
不安,ふあん
平安,へいあん
州,しゅう
九州,きゅうしゅう
本州,ほんしゅう
曲,きょく
名曲,めいきょく
有る,ある
有名,ゆうめい
次,つぎ
次回,じかい
目次,もくじ
年次,ねんじ
死ぬ,しぬ
死体,したい
死亡,しぼう
羊,ひつじ
羊毛,ようもう
血,ち
出血,しゅっけつ
国,くに
中国,ちゅうごく
天国,てんごく
全国,ぜんこく
四国,しこく
外国,がいこく
外国人,がいこくじん
米国,べいこく
夜,よる
今夜,こんや
姉妹,しまい
妹,いもうと
お姉さん,おねえさん
店,みせ
明るい,あかるい
不明,ふめい
東方,とうほう
東北,とうほく
中東,ちゅうとう
南東,なんとう
歩く,あるく
直す,なおす
直る,なおる
正直,しょうじき
直行,ちょっこう
長い,ながい
社長,しゃちょう
前,まえ
午前,ごぜん
南,みなみ
後ろ,うしろ
後で,あとで
午後,ごご
思う,おもう
星,ほし
生活,せいかつ
海,うみ
海外,かいがい
点,てん
科学,かがく
お茶,おちゃ
茶色,ちゃいろ
食べる,たべる
首,くび
足首,あしくび
首になる,くびになる
欠点,けってん
氏,し
氏名,しめい
自由,じゆう
理由,りゆう
札,さつ
千円札,せんえんさつ
国民,こくみん
辺り,あたり
この辺,このへん
付ける,つける
